
                            < M A T L A B (R) >
                  Copyright 1984-2008 The MathWorks, Inc.
                         Version 7.6.0.324 (R2008a)
                             February 10, 2008

 
  To get started, type one of these: helpwin, helpdesk, or demo.
  For product information, visit www.mathworks.com.
 
  f107 in 20-D, instance 5: FEs=200001, fbest-ftarget=5.5586e+01, elapsed time [h]: 1.99
  f107 in 20-D, instance 6: FEs=200002, fbest-ftarget=5.6031e+01, elapsed time [h]: 2.03
  f107 in 20-D, instance 7: FEs=200001, fbest-ftarget=6.5835e+01, elapsed time [h]: 2.07
  f107 in 20-D, instance 8: FEs=200003, fbest-ftarget=6.8206e+01, elapsed time [h]: 2.11
  f107 in 20-D, instance 9: FEs=200001, fbest-ftarget=4.0255e+01, elapsed time [h]: 2.15
  f107 in 20-D, instance 10: FEs=200003, fbest-ftarget=4.9767e+01, elapsed time [h]: 2.20
  f107 in 20-D, instance 11: FEs=200003, fbest-ftarget=7.6126e+01, elapsed time [h]: 2.24
  f107 in 20-D, instance 12: FEs=200001, fbest-ftarget=4.2662e+01, elapsed time [h]: 2.28
  f107 in 20-D, instance 13: FEs=200001, fbest-ftarget=4.7950e+01, elapsed time [h]: 2.32
  f107 in 20-D, instance 14: FEs=200003, fbest-ftarget=7.2189e+01, elapsed time [h]: 2.36
  f107 in 20-D, instance 15: FEs=200002, fbest-ftarget=3.7817e+01, elapsed time [h]: 2.40
      date and time: 2010    3   19   22   32   44
  f108 in 20-D, instance 1: FEs=200002, fbest-ftarget=9.6467e+01, elapsed time [h]: 2.44
  f108 in 20-D, instance 2: FEs=200004, fbest-ftarget=1.1149e+02, elapsed time [h]: 2.48
  f108 in 20-D, instance 3: FEs=200003, fbest-ftarget=9.2684e+01, elapsed time [h]: 2.53
  f108 in 20-D, instance 4: FEs=200003, fbest-ftarget=1.0653e+02, elapsed time [h]: 2.57
  f108 in 20-D, instance 5: FEs=200003, fbest-ftarget=8.5368e+01, elapsed time [h]: 2.61
  f108 in 20-D, instance 6: FEs=200004, fbest-ftarget=1.1081e+02, elapsed time [h]: 2.65
  f108 in 20-D, instance 7: FEs=200001, fbest-ftarget=8.3975e+01, elapsed time [h]: 2.70
  f108 in 20-D, instance 8: FEs=200002, fbest-ftarget=7.4728e+01, elapsed time [h]: 2.74
  f108 in 20-D, instance 9: FEs=200001, fbest-ftarget=6.8348e+01, elapsed time [h]: 2.79
  f108 in 20-D, instance 10: FEs=200001, fbest-ftarget=8.9351e+01, elapsed time [h]: 2.83
  f108 in 20-D, instance 11: FEs=200001, fbest-ftarget=1.2545e+02, elapsed time [h]: 2.88
  f108 in 20-D, instance 12: FEs=200003, fbest-ftarget=9.4749e+01, elapsed time [h]: 2.92
  f108 in 20-D, instance 13: FEs=200004, fbest-ftarget=7.7913e+01, elapsed time [h]: 2.96
