% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1626 +3.967203851e+00 +3.967203851e+00 +8.344720385e+01 +8.344720385e+01 +8.7758e-01 +7.3446e-01
1842 +2.429276435e+00 +2.429276435e+00 +8.190927644e+01 +8.190927644e+01 +6.9757e-01 +3.3701e-01
2440 +1.537122255e+00 +1.537122255e+00 +8.101712226e+01 +8.101712226e+01 -5.5180e-02 +4.4146e-02
2443 +9.674251296e-01 +9.674251296e-01 +8.044742513e+01 +8.044742513e+01 -1.2338e-01 -2.4800e-01
2843 +5.255754129e-01 +5.255754129e-01 +8.000557541e+01 +8.000557541e+01 -2.8373e-01 -6.6924e-01
2845 +3.624913021e-01 +3.624913021e-01 +7.984249130e+01 +7.984249130e+01 -8.4055e-02 -6.5778e-01
3611 +2.382332021e-01 +2.382332021e-01 +7.971823320e+01 +7.971823320e+01 +1.0359e-01 -6.9207e-01
3613 +1.202448093e-01 +1.202448093e-01 +7.960024481e+01 +7.960024481e+01 +4.1190e-02 -8.8209e-01
3614 +9.125061283e-02 +9.125061283e-02 +7.957125061e+01 +7.957125061e+01 +9.9882e-03 -9.7710e-01
4031 +3.167458005e-02 +3.167458005e-02 +7.951167458e+01 +7.951167458e+01 +8.6658e-02 -1.0930e+00
4032 +6.327135893e-03 +6.327135893e-03 +7.948632714e+01 +7.948632714e+01 +1.7514e-01 -1.1396e+00
4033 +9.796917317e-04 +9.796917317e-04 +7.948097969e+01 +7.948097969e+01 +2.6363e-01 -1.1862e+00
12280 +4.239090632e-04 +4.239090632e-04 +7.948042391e+01 +7.948042391e+01 +2.3796e-01 -1.1711e+00
20020 +6.011328119e-05 +6.011328119e-05 +7.948006011e+01 +7.948006011e+01 +2.5646e-01 -1.1636e+00
21904 +1.276039976e-05 +1.276039976e-05 +7.948001276e+01 +7.948001276e+01 +2.5621e-01 -1.1557e+00
25924 +2.368154810e-07 +2.368154810e-07 +7.948000024e+01 +7.948000024e+01 +2.5281e-01 -1.1563e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.118305969e+02 +4.118305969e+02 +8.063105969e+02 +8.063105969e+02 -1.3982e+01 -2.0501e+01
9 +2.478785452e+02 +2.478785452e+02 +6.423585452e+02 +6.423585452e+02 -5.7801e+00 -1.8522e+01
15 +1.133895025e+02 +1.133895025e+02 +5.078695025e+02 +5.078695025e+02 +6.2341e+00 +3.8411e-01
47 +8.598915608e+01 +8.598915608e+01 +4.804691561e+02 +4.804691561e+02 -1.1504e+01 +2.4148e+00
67 +5.870950390e+00 +5.870950390e+00 +4.003509504e+02 +4.003509504e+02 -1.5080e+00 -2.4940e+00
72 +3.703612300e+00 +3.703612300e+00 +3.981836123e+02 +3.981836123e+02 -1.9946e+00 -2.6093e+00
692 +2.497116796e+00 +2.497116796e+00 +3.969771168e+02 +3.969771168e+02 -2.3185e+00 -2.8560e+00
1119 +1.575638209e+00 +1.575638209e+00 +3.960556382e+02 +3.960556382e+02 -2.6456e+00 -2.8121e+00
1515 +9.184773116e-01 +9.184773116e-01 +3.953984773e+02 +3.953984773e+02 -3.0100e+00 -2.5309e+00
2560 +5.359324127e-01 +5.359324127e-01 +3.950159324e+02 +3.950159324e+02 -3.1718e+00 -2.8014e+00
2562 +3.689877309e-01 +3.689877309e-01 +3.948489877e+02 +3.948489877e+02 -3.2949e+00 -2.9591e+00
5801 +1.905715178e-01 +1.905715178e-01 +3.946705715e+02 +3.946705715e+02 -3.5535e+00 -2.6228e+00
5802 +1.199834380e-01 +1.199834380e-01 +3.945999834e+02 +3.945999834e+02 -3.6500e+00 -2.6490e+00
5803 +6.939535827e-02 +6.939535827e-02 +3.945493954e+02 +3.945493954e+02 -3.7465e+00 -2.6752e+00
5804 +3.880727851e-02 +3.880727851e-02 +3.945188073e+02 +3.945188073e+02 -3.8430e+00 -2.7014e+00
10781 +7.942359665e-03 +7.942359665e-03 +3.944879424e+02 +3.944879424e+02 -3.8175e+00 -2.8530e+00
10972 +2.465995485e-04 +2.465995485e-04 +3.944802466e+02 +3.944802466e+02 -3.8867e+00 -2.8800e+00
24073 +2.143804255e-05 +2.143804255e-05 +3.944800214e+02 +3.944800214e+02 -3.8978e+00 -2.8950e+00
46762 +2.360979238e-06 +2.360979238e-06 +3.944800024e+02 +3.944800024e+02 -3.8979e+00 -2.8919e+00
88131 +3.553911938e-07 +3.553911938e-07 +3.944800004e+02 +3.944800004e+02 -3.8980e+00 -2.8908e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.123435144e+02 +2.123435144e+02 -3.476648558e+01 -3.476648558e+01 +1.0734e+01 +1.2808e+00
41 +3.258690724e+01 +3.258690724e+01 -2.145230928e+02 -2.145230928e+02 +2.5205e-01 -3.8193e+00
71 +1.167948257e+01 +1.167948257e+01 -2.354305174e+02 -2.354305174e+02 -3.7825e+00 -3.2143e+00
76 +9.743132252e+00 +9.743132252e+00 -2.373668677e+02 -2.373668677e+02 -3.3997e+00 -2.8926e+00
147 +1.695904789e+00 +1.695904789e+00 -2.454140952e+02 -2.454140952e+02 -4.0139e+00 -1.0811e+00
150 +1.559847055e+00 +1.559847055e+00 -2.455501529e+02 -2.455501529e+02 -4.2828e+00 -9.4798e-01
3163 +9.873462998e-01 +9.873462998e-01 -2.461226537e+02 -2.461226537e+02 -3.9443e+00 -7.7968e-01
4625 +6.098152712e-01 +6.098152712e-01 -2.465001847e+02 -2.465001847e+02 -4.3010e+00 -3.9444e-01
5295 +3.968143569e-01 +3.968143569e-01 -2.467131856e+02 -2.467131856e+02 -3.1697e+00 +2.4181e-01
5539 +1.981884886e-01 +1.981884886e-01 -2.469118115e+02 -2.469118115e+02 -3.7180e+00 -2.3466e-01
5933 +1.447083759e-01 +1.447083759e-01 -2.469652916e+02 -2.469652916e+02 -3.4978e+00 -2.9882e-02
6202 +6.966231389e-02 +6.966231389e-02 -2.470403377e+02 -2.470403377e+02 -3.5402e+00 +1.4835e-01
6203 +3.812645869e-02 +3.812645869e-02 -2.470718735e+02 -2.470718735e+02 -3.6044e+00 +2.2507e-01
7080 +8.317124307e-03 +8.317124307e-03 -2.471016829e+02 -2.471016829e+02 -3.7449e+00 +1.2935e-01
7991 +7.646989648e-04 +7.646989648e-04 -2.471092353e+02 -2.471092353e+02 -3.8244e+00 +2.1253e-01
8166 +5.343508326e-05 +5.343508326e-05 -2.471099466e+02 -2.471099466e+02 -3.7997e+00 +2.1040e-01
15692 +4.022967829e-06 +4.022967829e-06 -2.471099960e+02 -2.471099960e+02 -3.8004e+00 +2.0341e-01
46236 +1.979821519e-06 +1.979821519e-06 -2.471099980e+02 -2.471099980e+02 -3.7994e+00 +2.0224e-01
92942 +1.563784991e-06 +1.563784991e-06 -2.471099984e+02 -2.471099984e+02 -3.7972e+00 +2.0300e-01
113506 +9.974598640e-07 +9.974598640e-07 -2.471099990e+02 -2.471099990e+02 -3.7975e+00 +2.0272e-01
% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
